a1,a2,a3,a4,a5,a6,a7,class
defended,her,to,colleagues,who,called,her,NNS
her,to,colleagues,who,called,her,a,WP
to,colleagues,who,called,her,a,grandstander,VBD
colleagues,who,called,her,a,grandstander,PERIOD,PRP
who,called,her,a,grandstander,PERIOD,_,DT
called,her,a,grandstander,PERIOD,_,_,NN
her,a,grandstander,PERIOD,_,_,_,PERIOD
_,_,_,If,this,woman,had,IN
_,_,If,this,woman,had,delayed,DT
_,If,this,woman,had,delayed,until,NN
If,this,woman,had,delayed,until,after,VBD
this,woman,had,delayed,until,after,11COLON20,VBN
woman,had,delayed,until,after,11COLON20,to,IN
had,delayed,until,after,11COLON20,to,start,IN
delayed,until,after,11COLON20,to,start,her,CD
until,after,11COLON20,to,start,her,shopping,TO
after,11COLON20,to,start,her,shopping,COMMA,VB
11COLON20,to,start,her,shopping,COMMA,she,PRPSTR
to,start,her,shopping,COMMA,she,would,NN
start,her,shopping,COMMA,she,would,have,COMMA
her,shopping,COMMA,she,would,have,had,PRP
shopping,COMMA,she,would,have,had,little,MD
COMMA,she,would,have,had,little,time,VB
she,would,have,had,little,time,in,VBD
would,have,had,little,time,in,which,JJ
have,had,little,time,in,which,to,NN
had,little,time,in,which,to,prepare,IN
little,time,in,which,to,prepare,the,WDT
time,in,which,to,prepare,the,substantial,TO
in,which,to,prepare,the,substantial,meal,VB
which,to,prepare,the,substantial,meal,that,DT
to,prepare,the,substantial,meal,that,was,JJ
prepare,the,substantial,meal,that,was,eaten,NN
the,substantial,meal,that,was,eaten,at,WDT
substantial,meal,that,was,eaten,at,dinner,VBD
meal,that,was,eaten,at,dinner,in,VBN
that,was,eaten,at,dinner,in,those,IN
was,eaten,at,dinner,in,those,days,NN
eaten,at,dinner,in,those,days,PERIOD,IN
at,dinner,in,those,days,PERIOD,_,DT
dinner,in,those,days,PERIOD,_,_,NNS
in,those,days,PERIOD,_,_,_,PERIOD
_,_,_,The,ideal,storage,temperature,DT
_,_,The,ideal,storage,temperature,for,JJ
_,The,ideal,storage,temperature,for,long,NN
The,ideal,storage,temperature,for,long,periods,NN
ideal,storage,temperature,for,long,periods,is,IN
storage,temperature,for,long,periods,is,about,JJ
temperature,for,long,periods,is,about,fifty-five,NNS
for,long,periods,is,about,fifty-five,degrees,VBZ
long,periods,is,about,fifty-five,degrees,COMMA,IN
periods,is,about,fifty-five,degrees,COMMA,with,CD
is,about,fifty-five,degrees,COMMA,with,an,NNS
about,fifty-five,degrees,COMMA,with,an,allowable,COMMA
fifty-five,degrees,COMMA,with,an,allowable,range,IN
degrees,COMMA,with,an,allowable,range,of,DT
COMMA,with,an,allowable,range,of,five,JJ
with,an,allowable,range,of,five,degrees,NN
an,allowable,range,of,five,degrees,above,IN
allowable,range,of,five,degrees,above,or,CD
range,of,five,degrees,above,or,below,NNS
of,five,degrees,above,or,below,this,IN
five,degrees,above,or,below,this,COMMA,CC
degrees,above,or,below,this,COMMA,provided,IN
above,or,below,this,COMMA,provided,there,DT
or,below,this,COMMA,provided,there,are,COMMA
below,this,COMMA,provided,there,are,no,VBN
this,COMMA,provided,there,are,no,sudden,EX
COMMA,provided,there,are,no,sudden,or,VBP
provided,there,are,no,sudden,or,frequent,RB
there,are,no,sudden,or,frequent,changes,JJ
are,no,sudden,or,frequent,changes,PERIOD,CC
no,sudden,or,frequent,changes,PERIOD,_,JJ
sudden,or,frequent,changes,PERIOD,_,_,NNS
or,frequent,changes,PERIOD,_,_,_,PERIOD
_,_,_,I,went,back,to,PRP
_,_,I,went,back,to,the,VBD
_,I,went,back,to,the,agency,RB
I,went,back,to,the,agency,car,TO
went,back,to,the,agency,car,and,DT
back,to,the,agency,car,and,got,NN
to,the,agency,car,and,got,out,NN
the,agency,car,and,got,out,an,CC
agency,car,and,got,out,an,electric,VBD
car,and,got,out,an,electric,bug,RP
and,got,out,an,electric,bug,COMMA,DT
got,out,an,electric,bug,COMMA,one,JJ
out,an,electric,bug,COMMA,one,of,NN
an,electric,bug,COMMA,one,of,the,COMMA
electric,bug,COMMA,one,of,the,newest,CD
bug,COMMA,one,of,the,newest,devices,IN
COMMA,one,of,the,newest,devices,for,DT
one,of,the,newest,devices,for,electronic,JJS
of,the,newest,devices,for,electronic,shadowing,NNS
the,newest,devices,for,electronic,shadowing,PERIOD,IN
newest,devices,for,electronic,shadowing,PERIOD,_,JJ
devices,for,electronic,shadowing,PERIOD,_,_,NN
for,electronic,shadowing,PERIOD,_,_,_,PERIOD
_,_,_,Market,participants,hope,today,NN
_,_,Market,participants,hope,today,SQs,NNS
_,Market,participants,hope,today,SQs,GNP,VBP
Market,participants,hope,today,SQs,GNP,report,NN
participants,hope,today,SQs,GNP,report,will,POS
hope,today,SQs,GNP,report,will,offer,NNP
today,SQs,GNP,report,will,offer,more,NN
SQs,GNP,report,will,offer,more,substantial,MD
GNP,report,will,offer,more,substantial,evidence,VB
report,will,offer,more,substantial,evidence,on,RBR
will,offer,more,substantial,evidence,on,UPERIODSPERIOD,JJ
offer,more,substantial,evidence,on,UPERIODSPERIOD,economic,NN
more,substantial,evidence,on,UPERIODSPERIOD,economic,growth,IN
substantial,evidence,on,UPERIODSPERIOD,economic,growth,COMMA,NNP
evidence,on,UPERIODSPERIOD,economic,growth,COMMA,although,JJ
on,UPERIODSPERIOD,economic,growth,COMMA,although,analysts,NN
UPERIODSPERIOD,economic,growth,COMMA,although,analysts,are,COMMA
economic,growth,COMMA,although,analysts,are,quick,IN
growth,COMMA,although,analysts,are,quick,to,NNS
COMMA,although,analysts,are,quick,to,point,VBP
although,analysts,are,quick,to,point,out,JJ
analysts,are,quick,to,point,out,that,TO
are,quick,to,point,out,that,the,VB
quick,to,point,out,that,the,figures,RP
to,point,out,that,the,figures,may,IN
point,out,that,the,figures,may,overstate,DT
out,that,the,figures,may,overstate,the,NNS
that,the,figures,may,overstate,the,economy,MD
the,figures,may,overstate,the,economy,SQs,VB
figures,may,overstate,the,economy,SQs,vigor,DT
may,overstate,the,economy,SQs,vigor,PERIOD,NN
overstate,the,economy,SQs,vigor,PERIOD,_,POS
the,economy,SQs,vigor,PERIOD,_,_,NN
economy,SQs,vigor,PERIOD,_,_,_,PERIOD
_,_,_,Analysts,had,been,projecting,NNS
_,_,Analysts,had,been,projecting,that,VBD
_,Analysts,had,been,projecting,that,the,VBN
Analysts,had,been,projecting,that,the,company,VBG
had,been,projecting,that,the,company,SQs,IN
been,projecting,that,the,company,SQs,earnings,DT
projecting,that,the,company,SQs,earnings,would,NN
that,the,company,SQs,earnings,would,be,POS
the,company,SQs,earnings,would,be,between,NNS
company,SQs,earnings,would,be,between,25,MD
SQs,earnings,would,be,between,25,cents,VB
earnings,would,be,between,25,cents,and,IN
would,be,between,25,cents,and,30,CD
be,between,25,cents,and,30,cents,NNS
between,25,cents,and,30,cents,a,CC
25,cents,and,30,cents,a,share,CD
cents,and,30,cents,a,share,PERIOD,NNS
and,30,cents,a,share,PERIOD,_,DT
30,cents,a,share,PERIOD,_,_,NN
cents,a,share,PERIOD,_,_,_,PERIOD
_,_,_,Separately,COMMA,the,Labor,RB
_,_,Separately,COMMA,the,Labor,Department,COMMA
_,Separately,COMMA,the,Labor,Department,reported,DT
Separately,COMMA,the,Labor,Department,reported,that,NNP
COMMA,the,Labor,Department,reported,that,average,NNP
the,Labor,Department,reported,that,average,weekly,VBD
Labor,Department,reported,that,average,weekly,earnings,IN
Department,reported,that,average,weekly,earnings,rose,JJ
reported,that,average,weekly,earnings,rose,0PERIOD3,JJ
that,average,weekly,earnings,rose,0PERIOD3,PERCENT,NNS
average,weekly,earnings,rose,0PERIOD3,PERCENT,in,VBD
weekly,earnings,rose,0PERIOD3,PERCENT,in,September,CD
earnings,rose,0PERIOD3,PERCENT,in,September,COMMA,NN
rose,0PERIOD3,PERCENT,in,September,COMMA,after,IN
0PERIOD3,PERCENT,in,September,COMMA,after,adjusting,NNP
PERCENT,in,September,COMMA,after,adjusting,for,COMMA
in,September,COMMA,after,adjusting,for,inflation,IN
September,COMMA,after,adjusting,for,inflation,COMMA,VBG
COMMA,after,adjusting,for,inflation,COMMA,following,IN
after,adjusting,for,inflation,COMMA,following,a,NN
adjusting,for,inflation,COMMA,following,a,0PERIOD7,COMMA
for,inflation,COMMA,following,a,0PERIOD7,PERCENT,VBG
inflation,COMMA,following,a,0PERIOD7,PERCENT,decline,DT
COMMA,following,a,0PERIOD7,PERCENT,decline,in,CD
following,a,0PERIOD7,PERCENT,decline,in,August,NN
a,0PERIOD7,PERCENT,decline,in,August,PERIOD,NN
0PERIOD7,PERCENT,decline,in,August,PERIOD,_,IN
PERCENT,decline,in,August,PERIOD,_,_,NNP
decline,in,August,PERIOD,_,_,_,PERIOD
_,_,_,Conservatives,now,hold,only,NNS
_,_,Conservatives,now,hold,only,a,RB
_,Conservatives,now,hold,only,a,4-May,VBP
Conservatives,now,hold,only,a,4-May,edge,RB
now,hold,only,a,4-May,edge,PERIOD,DT
hold,only,a,4-May,edge,PERIOD,_,JJ
only,a,4-May,edge,PERIOD,_,_,NN
a,4-May,edge,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,Just,to,say,DBQ
_,_,DBQ,Just,to,say,the,RB
_,DBQ,Just,to,say,the,distribution,TO
DBQ,Just,to,say,the,distribution,system,VB
Just,to,say,the,distribution,system,is,DT
to,say,the,distribution,system,is,wrong,NN
say,the,distribution,system,is,wrong,does,NN
the,distribution,system,is,wrong,does,nSQt,VBZ
distribution,system,is,wrong,does,nSQt,mean,JJ
system,is,wrong,does,nSQt,mean,anything,VBZ
is,wrong,does,nSQt,mean,anything,COMMA,RB
wrong,does,nSQt,mean,anything,COMMA,DQ,VB
does,nSQt,mean,anything,COMMA,DQ,says,NN
nSQt,mean,anything,COMMA,DQ,says,a,COMMA
mean,anything,COMMA,DQ,says,a,Ministry,DQ
anything,COMMA,DQ,says,a,Ministry,of,VBZ
COMMA,DQ,says,a,Ministry,of,International,DT
DQ,says,a,Ministry,of,International,Trade,NNP
says,a,Ministry,of,International,Trade,and,IN
a,Ministry,of,International,Trade,and,Industry,NNP
Ministry,of,International,Trade,and,Industry,official,NNP
of,International,Trade,and,Industry,official,PERIOD,CC
International,Trade,and,Industry,official,PERIOD,_,NNP
Trade,and,Industry,official,PERIOD,_,_,NN
and,Industry,official,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,A,lot,of,DBQ
_,_,DBQ,A,lot,of,donors,DT
_,DBQ,A,lot,of,donors,just,NN
DBQ,A,lot,of,donors,just,get,IN
A,lot,of,donors,just,get,taken,NNS
lot,of,donors,just,get,taken,PERIOD,RB
of,donors,just,get,taken,PERIOD,DQ,VBP
donors,just,get,taken,PERIOD,DQ,_,VBN
just,get,taken,PERIOD,DQ,_,_,PERIOD
get,taken,PERIOD,DQ,_,_,_,DQ
_,_,_,Another,agency,issue,came,DT
_,_,Another,agency,issue,came,to,NN
_,Another,agency,issue,came,to,market,NN
Another,agency,issue,came,to,market,yesterday,VBD
agency,issue,came,to,market,yesterday,PERIOD,TO
issue,came,to,market,yesterday,PERIOD,_,NN
came,to,market,yesterday,PERIOD,_,_,NN
to,market,yesterday,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,We,could,nSQt,DBQ
_,_,DBQ,We,could,nSQt,get,PRP
_,DBQ,We,could,nSQt,get,dealers,MD
DBQ,We,could,nSQt,get,dealers,to,RB
We,could,nSQt,get,dealers,to,answer,VB
could,nSQt,get,dealers,to,answer,their,NNS
nSQt,get,dealers,to,answer,their,phones,TO
get,dealers,to,answer,their,phones,COMMA,VB
dealers,to,answer,their,phones,COMMA,DQ,PRPSTR
to,answer,their,phones,COMMA,DQ,said,NNS
answer,their,phones,COMMA,DQ,said,Robert,COMMA
their,phones,COMMA,DQ,said,Robert,King,DQ
phones,COMMA,DQ,said,Robert,King,COMMA,VBD
COMMA,DQ,said,Robert,King,COMMA,senior,NNP
DQ,said,Robert,King,COMMA,senior,vice,NNP
said,Robert,King,COMMA,senior,vice,president,COMMA
Robert,King,COMMA,senior,vice,president,of,JJ
King,COMMA,senior,vice,president,of,OTC,NN
COMMA,senior,vice,president,of,OTC,trading,NN
senior,vice,president,of,OTC,trading,at,IN
vice,president,of,OTC,trading,at,Robinson-Humphrey,NNP
president,of,OTC,trading,at,Robinson-Humphrey,CoPERIOD,NN
of,OTC,trading,at,Robinson-Humphrey,CoPERIOD,in,IN
OTC,trading,at,Robinson-Humphrey,CoPERIOD,in,Atlanta,NNP
trading,at,Robinson-Humphrey,CoPERIOD,in,Atlanta,PERIOD,NNP
at,Robinson-Humphrey,CoPERIOD,in,Atlanta,PERIOD,_,IN
Robinson-Humphrey,CoPERIOD,in,Atlanta,PERIOD,_,_,NNP
CoPERIOD,in,Atlanta,PERIOD,_,_,_,PERIOD
_,_,_,Mayhap,this,metaphorical,connection,RB
_,_,Mayhap,this,metaphorical,connection,made,DT
_,Mayhap,this,metaphorical,connection,made,the,JJ
Mayhap,this,metaphorical,connection,made,the,BPC,NN
this,metaphorical,connection,made,the,BPC,Fine,VBD
metaphorical,connection,made,the,BPC,Fine,Arts,DT
connection,made,the,BPC,Fine,Arts,Committee,NNP
made,the,BPC,Fine,Arts,Committee,think,NNP
the,BPC,Fine,Arts,Committee,think,she,NNPS
BPC,Fine,Arts,Committee,think,she,had,NNP
Fine,Arts,Committee,think,she,had,a,VB
Arts,Committee,think,she,had,a,literal,PRP
Committee,think,she,had,a,literal,green,VBD
think,she,had,a,literal,green,thumb,DT
she,had,a,literal,green,thumb,PERIOD,JJ
had,a,literal,green,thumb,PERIOD,_,JJ
a,literal,green,thumb,PERIOD,_,_,NN
literal,green,thumb,PERIOD,_,_,_,PERIOD
_,_,_,She,understood,sex,anyway,PRP
_,_,She,understood,sex,anyway,COMMA,VBD
_,She,understood,sex,anyway,COMMA,and,NN
She,understood,sex,anyway,COMMA,and,played,RB
understood,sex,anyway,COMMA,and,played,at,COMMA
sex,anyway,COMMA,and,played,at,it,CC
anyway,COMMA,and,played,at,it,well,VBD
COMMA,and,played,at,it,well,PERIOD,IN
and,played,at,it,well,PERIOD,_,PRP
played,at,it,well,PERIOD,_,_,RB
at,it,well,PERIOD,_,_,_,PERIOD
_,_,_,This,is,New,York,DT
_,_,This,is,New,York,City,VBZ
_,This,is,New,York,City,PERIOD,NNP
This,is,New,York,City,PERIOD,_,NNP
is,New,York,City,PERIOD,_,_,NNP
New,York,City,PERIOD,_,_,_,PERIOD
_,_,_,I,was,hoping,I,PRP
_,_,I,was,hoping,I,SQd,VBD
_,I,was,hoping,I,SQd,hear,VBG
I,was,hoping,I,SQd,hear,from,PRP
was,hoping,I,SQd,hear,from,you,MD
hoping,I,SQd,hear,from,you,today,VB
I,SQd,hear,from,you,today,DQ,IN
SQd,hear,from,you,today,DQ,PERIOD,PRP
hear,from,you,today,DQ,PERIOD,_,NN
from,you,today,DQ,PERIOD,_,_,DQ
you,today,DQ,PERIOD,_,_,_,PERIOD
_,_,_,MrPERIOD,Watson,says,MrsPERIOD,NNP
_,_,MrPERIOD,Watson,says,MrsPERIOD,Yeargin,NNP
_,MrPERIOD,Watson,says,MrsPERIOD,Yeargin,never,VBZ
MrPERIOD,Watson,says,MrsPERIOD,Yeargin,never,complained,NNP
Watson,says,MrsPERIOD,Yeargin,never,complained,to,NNP
says,MrsPERIOD,Yeargin,never,complained,to,school,RB
MrsPERIOD,Yeargin,never,complained,to,school,officials,VBD
Yeargin,never,complained,to,school,officials,that,TO
never,complained,to,school,officials,that,the,NN
complained,to,school,officials,that,the,standardized,NNS
to,school,officials,that,the,standardized,test,IN
school,officials,that,the,standardized,test,was,DT
officials,that,the,standardized,test,was,unfair,JJ
that,the,standardized,test,was,unfair,PERIOD,NN
the,standardized,test,was,unfair,PERIOD,_,VBD
standardized,test,was,unfair,PERIOD,_,_,JJ
test,was,unfair,PERIOD,_,_,_,PERIOD
_,_,_,Then,COMMA,Mr,PERIOD,RB
_,_,Then,COMMA,Mr,PERIOD,Will,COMMA
_,Then,COMMA,Mr,PERIOD,Will,says,NNP
Then,COMMA,Mr,PERIOD,Will,says,COMMA,PERIOD
COMMA,Mr,PERIOD,Will,says,COMMA,DBQ,NNP
Mr,PERIOD,Will,says,COMMA,DBQ,you,VBZ
PERIOD,Will,says,COMMA,DBQ,you,get,COMMA
Will,says,COMMA,DBQ,you,get,a,DBQ
says,COMMA,DBQ,you,get,a,bidding,PRP
COMMA,DBQ,you,get,a,bidding,war,VBP
DBQ,you,get,a,bidding,war,between,DT
you,get,a,bidding,war,between,two,NN
get,a,bidding,war,between,two,very,NN
a,bidding,war,between,two,very,rich,IN
bidding,war,between,two,very,rich,COMMA,CD
war,between,two,very,rich,COMMA,very,RB
between,two,very,rich,COMMA,very,determined,JJ
two,very,rich,COMMA,very,determined,international,COMMA
very,rich,COMMA,very,determined,international,companies,RB
rich,COMMA,very,determined,international,companies,PERIOD,VBN
COMMA,very,determined,international,companies,PERIOD,DQ,JJ
very,determined,international,companies,PERIOD,DQ,_,NNS
determined,international,companies,PERIOD,DQ,_,_,PERIOD
international,companies,PERIOD,DQ,_,_,_,DQ
_,_,_,Some,analysts,said,they,DT
_,_,Some,analysts,said,they,believed,NNS
_,Some,analysts,said,they,believed,MrPERIOD,VBD
Some,analysts,said,they,believed,MrPERIOD,Trump,PRP
analysts,said,they,believed,MrPERIOD,Trump,COMMA,VBD
said,they,believed,MrPERIOD,Trump,COMMA,whose,NNP
they,believed,MrPERIOD,Trump,COMMA,whose,towering,NNP
believed,MrPERIOD,Trump,COMMA,whose,towering,ego,COMMA
MrPERIOD,Trump,COMMA,whose,towering,ego,had,WPSTR
Trump,COMMA,whose,towering,ego,had,been,JJ
COMMA,whose,towering,ego,had,been,viewed,NN
whose,towering,ego,had,been,viewed,by,VBD
towering,ego,had,been,viewed,by,some,VBN
ego,had,been,viewed,by,some,as,VBN
had,been,viewed,by,some,as,a,IN
been,viewed,by,some,as,a,reason,DT
viewed,by,some,as,a,reason,to,IN
by,some,as,a,reason,to,believe,DT
some,as,a,reason,to,believe,he,NN
as,a,reason,to,believe,he,would,TO
a,reason,to,believe,he,would,nSQt,VB
reason,to,believe,he,would,nSQt,back,PRP
to,believe,he,would,nSQt,back,out,MD
believe,he,would,nSQt,back,out,COMMA,RB
he,would,nSQt,back,out,COMMA,might,VB
would,nSQt,back,out,COMMA,might,come,RB
nSQt,back,out,COMMA,might,come,back,COMMA
back,out,COMMA,might,come,back,with,MD
out,COMMA,might,come,back,with,a,VB
COMMA,might,come,back,with,a,lower,RB
might,come,back,with,a,lower,bid,IN
come,back,with,a,lower,bid,PERIOD,DT
back,with,a,lower,bid,PERIOD,_,JJR
with,a,lower,bid,PERIOD,_,_,NN
a,lower,bid,PERIOD,_,_,_,PERIOD
_,_,_,I,had,nSQt,done,PRP
_,_,I,had,nSQt,done,a,VBD
_,I,had,nSQt,done,a,serious,RB
I,had,nSQt,done,a,serious,picture,VBN
had,nSQt,done,a,serious,picture,in,DT
nSQt,done,a,serious,picture,in,almost,JJ
done,a,serious,picture,in,almost,a,NN
a,serious,picture,in,almost,a,year,IN
serious,picture,in,almost,a,year,PERIOD,RB
picture,in,almost,a,year,PERIOD,_,DT
in,almost,a,year,PERIOD,_,_,NN
almost,a,year,PERIOD,_,_,_,PERIOD
_,_,_,He,felt,her,irritability,PRP
_,_,He,felt,her,irritability,did,VBD
_,He,felt,her,irritability,did,not,PRPSTR
He,felt,her,irritability,did,not,concern,NN
felt,her,irritability,did,not,concern,him,VBD
her,irritability,did,not,concern,him,COMMA,RB
irritability,did,not,concern,him,COMMA,yet,VB
did,not,concern,him,COMMA,yet,he,PRP
not,concern,him,COMMA,yet,he,knew,COMMA
concern,him,COMMA,yet,he,knew,he,CC
him,COMMA,yet,he,knew,he,would,PRP
COMMA,yet,he,knew,he,would,not,VBD
yet,he,knew,he,would,not,care,PRP
he,knew,he,would,not,care,even,MD
knew,he,would,not,care,even,if,RB
he,would,not,care,even,if,it,VB
would,not,care,even,if,it,did,RB
not,care,even,if,it,did,PERIOD,IN
care,even,if,it,did,PERIOD,_,PRP
even,if,it,did,PERIOD,_,_,VBD
if,it,did,PERIOD,_,_,_,PERIOD
_,_,_,In,a,Madrid,hotel,IN
_,_,In,a,Madrid,hotel,room,DT
_,In,a,Madrid,hotel,room,recently,NNP
In,a,Madrid,hotel,room,recently,COMMA,NN
a,Madrid,hotel,room,recently,COMMA,a,NN
Madrid,hotel,room,recently,COMMA,a,viewer,RB
hotel,room,recently,COMMA,a,viewer,caught,COMMA
room,recently,COMMA,a,viewer,caught,the,DT
recently,COMMA,a,viewer,caught,the,end,NN
COMMA,a,viewer,caught,the,end,of,VBD
a,viewer,caught,the,end,of,a,DT
viewer,caught,the,end,of,a,badly,NN
caught,the,end,of,a,badly,acted,IN
the,end,of,a,badly,acted,series,DT
end,of,a,badly,acted,series,about,RB
of,a,badly,acted,series,about,a,VBN
a,badly,acted,series,about,a,fishing,NN
badly,acted,series,about,a,fishing,boat,IN
acted,series,about,a,fishing,boat,on,DT
series,about,a,fishing,boat,on,Australia,NN
about,a,fishing,boat,on,Australia,SQs,NN
a,fishing,boat,on,Australia,SQs,Great,IN
fishing,boat,on,Australia,SQs,Great,Barrier,NNP
boat,on,Australia,SQs,Great,Barrier,Reef,POS
on,Australia,SQs,Great,Barrier,Reef,COMMA,NNP
Australia,SQs,Great,Barrier,Reef,COMMA,only,NNP
SQs,Great,Barrier,Reef,COMMA,only,to,NNP
Great,Barrier,Reef,COMMA,only,to,be,COMMA
Barrier,Reef,COMMA,only,to,be,urged,RB
Reef,COMMA,only,to,be,urged,by,TO
COMMA,only,to,be,urged,by,the,VB
only,to,be,urged,by,the,British,VBN
to,be,urged,by,the,British,announcer,IN
be,urged,by,the,British,announcer,to,DT
urged,by,the,British,announcer,to,DBQ,JJ
by,the,British,announcer,to,DBQ,stay,NN
the,British,announcer,to,DBQ,stay,tuned,TO
British,announcer,to,DBQ,stay,tuned,for,DBQ
announcer,to,DBQ,stay,tuned,for,the,VB
to,DBQ,stay,tuned,for,the,further,VBN
DBQ,stay,tuned,for,the,further,adventures,IN
stay,tuned,for,the,further,adventures,of,DT
tuned,for,the,further,adventures,of,Skippy,JJ
for,the,further,adventures,of,Skippy,the,NNS
the,further,adventures,of,Skippy,the,Kangaroo,IN
further,adventures,of,Skippy,the,Kangaroo,PERIOD,NNP
adventures,of,Skippy,the,Kangaroo,PERIOD,DQ,DT
of,Skippy,the,Kangaroo,PERIOD,DQ,_,NNP
Skippy,the,Kangaroo,PERIOD,DQ,_,_,PERIOD
the,Kangaroo,PERIOD,DQ,_,_,_,DQ
_,_,_,The,robe,COMMA,however,DT
_,_,The,robe,COMMA,however,COMMA,NN
_,The,robe,COMMA,however,COMMA,was,COMMA
The,robe,COMMA,however,COMMA,was,missing,RB
robe,COMMA,however,COMMA,was,missing,COMMA,COMMA
COMMA,however,COMMA,was,missing,COMMA,for,VBD
however,COMMA,was,missing,COMMA,for,by,VBG
COMMA,was,missing,COMMA,for,by,that,COMMA
was,missing,COMMA,for,by,that,time,IN
